title_zh,itemIds
《一品红》,S1989.10
《三女神神龛》,S1997.140a-g
《三清像》,F1976.34
《三越：帝都锦绘》,S2003.8.1503
《三马图》,F1944.50
《不动明王图》,S1998.128
《不空和尚碑》,F1980.58
《东京二十景.芝增上寺》,S2003.8.668
《东京二十景》-大根河岸晨景,S2003.8.688
《东京二十景》-大森海岸,S2003.8.720
《东京二十景》-平河门,S2003.8.721
《东京二十景》-御茶水,S2003.8.677
《东京二十景》-忍池雨景,S2003.8.715
《东京二十景》-新大桥,S2003.8.682
《东京二十景》-明石町雨後,S2003.8.701;S2003.8.702
《东京二十景》-月岛雪景,S2003.8.719
《东京二十景》-池上市之仓,S2003.8.703;S2003.8.704
《东京二十景》-泷之川,S2003.8.705
《东京二十景》-洗足池,S2003.8.697
《东京二十景》-浅草观音雪霁,S2003.8.680
《东京二十景》-神田明神境内,S2003.8.678
《东京二十景》-荒川月,S2003.8.706
《东京二十景》-马込之月,S2003.8.727;S2003.8.728
《东京十二景》-下谷,S2003.8.231
《东京十二景》-向岛,S2003.8.230
《东京十二景》-新桥,S2003.8.229
《东京十二景》-浅草,S2003.8.232
《东京十二景》-芳町,S2003.8.233
《东京十二题.春之爱宕山》,S2003.8.623
《东京名所真景》-吹上吊桥,S2003.8.211
《东京名所真景》-新大桥,S2003.8.206
《东京名所真景》-柳桥夜雨,S2003.8.215
《东京名所真景》-洲崎,S2003.8.203
《东京名所真景》-爱宕山,S2003.8.201
《东京名所真景》-葵坂,S2003.8.204
《东京名所真景》-道灌山,S2003.8.200;S2003.8.210
《东京名所真景》-鹿鸣馆,S2003.8.212
《东京回忆》-上野动物园,S1995.118.6
《东京回忆》-东京站,S1995.118.3
《东京回忆》-九段鸟居,S1995.118.15
《东京回忆》-二重桥,S1995.118.13
《东京回忆》-寺院,S1995.118.1
《东京回忆》-帝国大学赤门,S1995.118.9
《东京回忆》-数奇屋桥,S1995.118.10
《东京回忆》-新宿之夜,S1995.118.12
《东京回忆》-新宿夜,S1995.118.12
《东京回忆》-明治神宫,S1995.118.7
《东京回忆》-泉岳寺墓地,S1995.118.11
《东京回忆》-浅草观音,S1995.118.14
《东京回忆》-深川法库托里街,S1995.118.5
《东京回忆》-深川职人街,S1995.118.5
《东京回忆》-赤坂弁庆桥,S1995.118.2
《东京回忆》-赤坂离宫,S1995.118.8
